Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Andorra,AND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.26631829566185,7.5169514926518,7.76787754169523,7.86722544139674,7.6673547626069,7.48069798288996,7.17117419716361,7.27906103212127,7.2658029127189,6.85606028248126,6.90819800247764,7.10012519173851,7.04110898725172,7.27079490661942,6.94375571494811,6.90014517816094,6.72579748723029,6.42269737011002,6.55088783775969,6.47918388210514,6.36537235813897,6.53220121227978,6.54938894201171,..,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,7648377412.83277,6506229607.29432,6152922942.98032,9129594818.60749,8936063723.20121,15285594828.418,17812704825.1957,23552047248.4301,36970918699.2523,52381006892.038,65266452081.386,88538610805.3214,70307166934.3311,81699526880.8079,109436566876.419,124998210652.243,133401582620.494,137244439121.374,87219300384.5072,49840491178.1518,68972769395.6274,77792944471.9494,69309110145.7687,53619073505.1377,67404287260.3199
Angola,AGO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Angola,AGO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,69.3288869600231,73.2745471034298,71.8932491734954,75.27115610518,82.6368863790624,86.0349418327863,95.8379620071173,87.4747784163176,109.197700740616,144.626070188282,133.239698887845,172.417592458473,189.313209352508,206.38425864202,206.685232612193,218.55392179827,278.808254957872,310.081668478241,..,..,..,..,..,..,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.08666810210861,1.09130919620295,1.1095881840011,0.988162665238182,0.942060504721311,0.895745322664047,0.924723238442631,0.929619336237945,0.812813415503919,0.821333211618413,0.811585642009439,0.88882655106661,0.939679489694506,0.975852538278588,0.98396024649186,0.947662542550856,1.03109331939749,1.0922158317617,1.1252244580544,1.02076005837546,0.802750790270912,0.766143022103473,0.77920257513549,..,..
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,680618518.518518,727859259.259259,766200000,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148,1471125925.92593
Antigua and Barbuda,ATG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
